College Name,Branch Name,Percentile,Fees
Government College of Engineering Amravati,Civil Engineering,61.639,120000
Government College of Engineering Amravati,Electronics and Telecommunication Engg,,150000
Sant Gade Baba Amravati University Amravati,Food Technology,61.639,100000
Sant Gadge Baba Amravati University Amravati,Oil and Paints Technology,34.136542,80000
Sant Gadge Baba Amravati University Amravati,Paper and Pulp Technology,,75000
Government College of Engineering Yavatmal,Civil Engineering,65.9622938,125000
Government College of Engineering Yavatmal,Computer Engineering,,160000
Government College of Engineering Yavatmal,Electrical Engineering,,140000
Government College of Engineering Yavatmal,Electronics and Telecommunication Engg,,155000
Government College of Engineering Yavatmal,Mechanical Engineering,62.3996115,130000
Shri Sant Gajanan Maharaj College of Engineering Shegaon,Computer Science and Engineering,,180000
Shri Sant Gajanan Maharaj College of Engineering Shegaon,Information Technology,,190000
Shri Sant Gajanan Maharaj College of Engineering Shegaon,Electrical Engg[Electronics and Power],,140000
Shri Sant Gajanan Maharaj College of Engineering Shegaon,Electronics and Telecommunication Engg,,160000
Shri Sant Gajanan Maharaj College of Engineering Shegaon,Mechanical Engineering,,120000
Prof. Ram Meghie Institute of Technology & Research Amravati,Civil Engineering,58.5474069,110000
Prof. Ram Megh Institute of Technology & Research Amravati,Industrial IoT,66.6716379,200000
Prof. Ram Megh Institute of Technology & Research Amravati,Electronics and Telecommunication Eng,78.067557,220000
Prof. Ram Megh Institute of Technology & Research Amravati,Mechanical Engineering,47.387098,100000
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus) Amravati,Civil Engineering,52.7523799,95000
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus) Amravati,Computer Science and Engineering,82.1650299,250000
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus) Amravati,Electrical Engineering,,110000
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus) Amravati,Electronics and Telecommunication Engg,75.1725431,180000
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus) Amravati,Mechanical Engineering,50.8083922,105000
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus) Amravati,Artificial Intelligence and Data Science,79.5863208,280000
Sipna Shikshan Prasarak Mandal College of Engineering & Technology Amravati,Civil Engineering,43.5071268,85000
Sipna Shikshan Prasarak Mandal College of Engineering & Technology Amravati,Computer Science and Engineering,,160000
Sipna Shikshan Prasarak Mandal College of Engineering & Technology Amravati,Information Technology,81.0174211,220000
Sipna Shikshan Prasarak Mandal College of Engineering & Technology Amravati,Electronics and Telecommunication Engg,73.026519,170000
Sipna Shikshan Prasarak Mandal College of Engineering & Technology Amravati,Mechanical Engineering,,90000
Shri Shivaji Education Society's College of Engineering and Technology Akola,Civil Engineering,27.6545345,70000
Shri Shivaji Education Society's College of Engineering and Technology Akola,Computer Science and Engineering,71.1698646,180000
Shri Shivaji Education Society's College of Engineering and Technology Akola,Chemical Engineering,35.6213901,95000
Shri Shivaji Education Society's College of Engineering and Technology Akola,Civil Engineering,31.7228694,75000
Janata Shikshan Prasarak Mandal's Babasaheb Naik College Of Engineering Pusad,Civil Engineering,42.9215913,80000
Janata Shikshan Prasarak Mandal's Babasaheb Naik College Of Engineering Pusad,Computer Science and Engineering,,150000
Janata Shikshan Prasarak Mandal's Babasaheb Naik College Of Engineering Pusad,Electrical Engg[Electronics and Power],,110000
Janata Shikshan Prasarak Mandal's Babasaheb Naik College Of Engineering Pusad,Mechanical Engineering,37.6936381,85000
Janata Shikshan Prasarak Mandal's Babasaheb Naik College Of Engineering Pusad,Artificial Intelligence and Data Science,,200000
Paramhansa Ramkrishna Maunibaba Shikshan Santha's Anuradha Engineering College Chikhal,Computer Science and Engineering,76.6367377,190000
Paramhansa Ramkrishna Maunibaba Shikshan Santha's Anuradha Engineering College Chikhal,Information Technology,68.8122862,170000
Paramhansa Ramkrishna Maunibaba Shikshan Santha's Anuradha Engineering College Chikhal,Electronics and Telecommunication Engg,52.2466614,130000
Paramhansa Ramkrishna Maunibaba Shikshan Santha's Anuradha Engineering College Chikhal,Chemical Engineering,15.5443322,60000
